authors,publication_year,title,journal,doi,affiliations
JANICKE T;HÄDERER IK;LAJEUNESSE MJ;ANTHES N,2016,EVOLUTIONARY BIOLOGY: DARWINIAN SEX ROLES CONFIRMED ACROSS THE ANIMAL KINGDOM,SCIENCE ADVANCES,10.1126/SCIADV.1500983,"CENTRE D'ÉCOLOGIE FONCTIONNELLE ET ÉVOLUTIVE, CNRS, UNIVERSITÉ DE MONTPELLIER, UNIVERSITÉ PAUL-VALÉRY MONTPELLIER, ROUTE DE MENDE, 34293, FRANCE; ANIMAL EVOLUTIONARY ECOLOGY GROUP, INSTITUTE FOR EVOLUTION AND ECOLOGY, UNIVERSITY OF TÜBINGEN, AUF DER MORGENSTELLE 28, TÜBINGEN, 72076, GERMANY; DEPARTMENT OF INTEGRATIVE BIOLOGY, UNIVERSITY OF SOUTH FLORIDA, TAMPA, 33620, FL, UNITED STATES"
MYERS JN;SENIOR A;ZADMAJID V;SØRENSEN SR;BUTTS IAE,2020,ASSOCIATIONS BETWEEN OVARIAN FLUID AND SPERM SWIMMING TRAJECTORIES IN MARINE AND FRESHWATER TELEOSTS: A META-ANALYSIS,REVIEWS IN FISHERIES SCIENCE AND AQUACULTURE,10.1080/23308249.2020.1739623,"SCHOOL OF FISHERIES, AQUACULTURE AND AQUATIC SCIENCES, AUBURN UNIVERSITY, AUBURN, AL, UNITED STATES; CHARLES PERKINS CENTRE, UNIVERSITY OF SYDNEY, SYDNEY, NSW, AUSTRALIA; UNIVERSITY OF SYDNEY, CHARLES PERKINS CENTRE AND SCHOOL OF LIFE AND ENVIRONMENTAL SCIENCES, SYDNEY, NSW, AUSTRALIA; DEPARTMENT OF FISHERIES SCIENCE, FACULTY OF NATURAL RESOURCES, UNIVERSITY OF KURDISTAN, SANANDAJ, IRAN; SECTION FOR MARINE LIVING RESOURCES, NATIONAL INSTITUTE OF AQUATIC RESOURCES, TECHNICAL UNIVERSITY OF DENMARK, LYNGBY, DENMARK; BIO-TEAM, BILLUND AQUACULTURE, BILLUND, DENMARK"
MAUTZ BS;MØLLER AP;JENNIONS MD,2013,DO MALE SECONDARY SEXUAL CHARACTERS SIGNAL EJACULATE QUALITY? A META-ANALYSIS,BIOLOGICAL REVIEWS,10.1111/BRV.12022,"RESEARCH SCHOOL OF BIOLOGY, AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, ACT 0200, AUSTRALIA; LABORATOIRE D'ECOLOGIE, SYSTÉMATIQUE ET EVOLUTION, CNRS UMR 8079, UNIVERSITÉ PARIS-SUD, PARIS, BÂTIMENT 362, ORSAY CEDEX, FRANCE; DEPARTMENT OF BIOLOGY, UNIVERSITY OF OTTAWA, OTTAWA, ON,K1N 6N5, 30 MARIE-CURIE, CANADA"
PEIXOTO PEC;MEDINA AM;MENDOZA-CUENCA L,2014,DO TERRITORIAL BUTTERFLIES SHOW A MACROECOLOGICAL FIGHTING PATTERN IN RESPONSE TO ENVIRONMENTAL STABILITY?,BEHAVIOURAL PROCESSES,10.1016/J.BEPROC.2014.07.001,"LABORATÓRIO DE ENTOMOLOGIA, DEPARTAMENTO DE CIÊNCIAS BIOLÓGICAS, UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA, FEIRA DE SANTANA, BA, CEP: 44036-900, BRAZIL; LABORATORIO DE ECOLOGÍA DE LA CONDUCTA, FACULTAD DE BIOLOGIA, UNIVERSIDAD MICHOACANA DE SAN NICOLÁS DE HIDALGO, AV.FRANCISCO J. MUJICA S/N, COL. FELICITAS DEL RIO.C.P., MORELIA, MICHOACÁN, 58030, MEXICO"
DAVIES AD;LEWIS Z;DOUGHERTY LR,2020,A META-ANALYSIS OF FACTORS INFLUENCING THE STRENGTH OF MATE-CHOICE COPYING IN ANIMALS,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARAA064,"INSTITUTE OF INTEGRATIVE BIOLOGY, UNIVERSITY OF LIVERPOOL, BIOSCIENCES BUILDING, CROWN STREET, LIVERPOOL, UNITED KINGDOM; SCHOOL OF LIFE SCIENCES, UNIVERSITY OF LIVERPOOL, BIOSCIENCES BUILDING, CROWN STREET, LIVERPOOL, UNITED KINGDOM"
PALAORO AV;PEIXOTO PEC,2022,"THE HIDDEN LINKS BETWEEN ANIMAL WEAPONS, FIGHTING STYLE, AND THEIR EFFECT ON CONTEST SUCCESS: A META-ANALYSIS",BIOLOGICAL REVIEWS,10.1111/BRV.12877,"PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA E EVOLUÇÃO, UNIVERSIDADE FEDERAL DE SÃO PAULO, RUA PROF. ARTUR RIEDEL 66, SÃO PAULO STATE, DIADEMA, 99722-270, BRAZIL; PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA, UNIVERSIDADE DE SÃO PAULO, RUA DO MATÃO TRAV. 14, SÃO PAULO STATE, SÃO PAULO, 05508-090, BRAZIL; DEPARTMENT OF MATERIAL SCIENCES AND ENGINEERING, CLEMSON UNIVERSITY, 490 SIRRINE HALL, 515 CALHOUN DR, CLEMSON, 29634, SC, UNITED STATES; LASEXIA, DEPARTAMENTO DE GENÉTICA, ECOLOGIA E EVOLUÇÃO, UNIVERSIDADE FEDERAL DE MINAS GERAIS, AV. ANTÔNIO CARLOS 6627, MINAS GERAIS STATE, BELO HORIZONTE, 31270-901, BRAZIL"
LÜPOLD S;SIMMONS LW;TOMKINS JL;FITZPATRICK JL,2015,NO EVIDENCE FOR A TRADE-OFF BETWEEN SPERM LENGTH AND MALE PREMATING WEAPONRY,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/JEB.12742,"COMPUTATIONAL AND EVOLUTIONARY BIOLOGY, FACULTY OF LIFE SCIENCES, UNIVERSITY OF MANCHESTER, MANCHESTER, UNITED KINGDOM; DEPARTMENT OF BIOLOGY, LIFE SCIENCES COMPLEX, SYRACUSE UNIVERSITY, SYRACUSE, NY, UNITED STATES; CENTRE FOR EVOLUTIONARY BIOLOGY, SCHOOL OF ANIMAL BIOLOGY (M092), UNIVERSITY OF WESTERN AUSTRALIA, CRAWLEY, WA, AUSTRALIA"
PILAKOUTA N;BAILLET A,2022,EFFECTS OF TEMPERATURE ON MATING BEHAVIOUR AND MATING SUCCESS: A META-ANALYSIS,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.13761,"SCHOOL OF BIOLOGICAL SCIENCES, UNIVERSITY OF ABERDEEN, ABERDEEN, UNITED KINGDOM; OBSERVATOIRE DES SCIENCES DE L'UNIVERS DE RENNES (OSUR), UNIVERSITÉ DE RENNES, RENNES, FRANCE; DEPARTMENT OF WOOD AND FOREST SCIENCES, LAVAL UNIVERSITY, QUEBEC, QC, CANADA"
JONES BC;DUVAL EH,2019,MECHANISMS OF SOCIAL INFLUENCE: A META-ANALYSIS OF THE EFFECTS OF SOCIAL INFORMATION ON FEMALE MATE CHOICE DECISIONS,FRONTIERS IN ECOLOGY AND EVOLUTION,10.3389/FEVO.2019.00390,"DEPARTMENT OF BIOLOGICAL SCIENCES, FLORIDA STATE UNIVERSITY, TALLAHASSEE, FL, UNITED STATES"
ROMETSCH SJ;TORRES-DOWDALL J;MEYER A,2020,EVOLUTIONARY DYNAMICS OF PRE- AND POSTZYGOTIC REPRODUCTIVE ISOLATION IN CICHLID FISHES: REPRODUCTIVE ISOLATION IN CICHLID FISHES,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSTB.2019.0535,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF KONSTANZ, UNIVERSITÄTSSTRASSE 10, KONSTANZ, 78457, GERMANY"
HASIK AZ;SIEPIELSKI AM,2022,PARASITISM SHAPES SELECTION BY DRASTICALLY REDUCING HOST FITNESS AND INCREASING HOST FITNESS VARIATION,BIOLOGY LETTERS,10.1098/RSBL.2022.0323,"BIOLOGICAL SCIENCES, UNIVERSITY OF ARKANSAS, SCEN 601, 850 W. DICKSON ST., FAYETTEVILLE, 72701, AR, UNITED STATES"
PIKE VL;CORNWALLIS CK;GRIFFIN AS,2021,WHY DON'T ALL ANIMALS AVOID INBREEDING?,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.2021.1045,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OXFORD, OXFORD, OX1 3SZ, UNITED KINGDOM; DEPARTMENT OF BIOLOGY, LUND UNIVERSITY, LUND, SWEDEN"
CALLY JG;STUART-FOX D;HOLMAN L,2019,META-ANALYTIC EVIDENCE THAT SEXUAL SELECTION IMPROVES POPULATION FITNESS,NATURE COMMUNICATIONS,10.1038/S41467-019-10074-7,"SCHOOL OF BIOSCIENCES, THE UNIVERSITY OF MELBOURNE, PARKVILLE, 3052, VIC, AUSTRALIA"
KIM B;MORAN NP;REINHOLD K;SÁNCHEZ-TÓJAR A,2021,MALE SIZE AND REPRODUCTIVE PERFORMANCE IN THREE SPECIES OF LIVEBEARING FISHES (GAMBUSIA SPP.): A SYSTEMATIC REVIEW AND META-ANALYSIS,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.13554,"DEPARTMENT OF EVOLUTIONARY BIOLOGY, BIELEFELD UNIVERSITY, BIELEFELD, GERMANY; CENTRE FOR OCEAN LIFE DTU-AQUA, TECHNICAL UNIVERSITY OF DENMARK, LYNGBY, DENMARK"
SÁNCHEZ-TÓJAR A;NAKAGAWA S;SÁNCHEZ-FORTÚN M;MARTIN DA;RAMANI S;GIRNDT A;BÓKONY V;KEMPENAERS B;LIKER A;WESTNEAT DF;BURKE T;SCHROEDER J,2018,META-ANALYSIS CHALLENGES A TEXTBOOK EXAMPLE OF STATUS SIGNALLING AND DEMONSTRATES PUBLICATION BIAS,ELIFE,10.7554/ELIFE.37385,"EVOLUTIONARY BIOLOGY GROUP, MAX PLANCK INSTITUTE FOR ORNITHOLOGY, SEEWIESEN, GERMANY; DEPARTMENT OF LIFE SCIENCES, IMPERIAL COLLEGE LONDON, ASCOT, UNITED KINGDOM; SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, SIDNEY, AUSTRALIA; DEPARTMENT OF ANIMAL AND PLANT SCIENCES, UNIVERSITY OF SHEFFIELD, SHEFFIELD, UNITED KINGDOM; DEPARTMENT OF ANIMAL BEHAVIOUR, BIELEFELD UNIVERSITY, BIELEFELD, GERMANY; LENDÜLET EVOLUTIONARY ECOLOGY RESEARCH GROUP, PLANT PROTECTION INSTITUTE, CENTRE FOR AGRICULTURAL RESEARCH, HUNGARIAN ACADEMY OF SCIENCES, BUDAPEST, HUNGARY; DEPARTMENT OF BEHAVIOURAL ECOLOGY AND EVOLUTIONARY GENETICS, MAX PLANCK INSTITUTE FOR ORNITHOLOGY, SEEWIESEN, GERMANY; MTA-PE EVOLUTIONARY ECOLOGY RESEARCH GROUP, UNIVERSITY OF PANNONIA, VESZPRÉM, HUNGARY; DEPARTMENT OF BIOLOGY, UNIVERSITY OF KENTUCKY, LEXINGTON, UNITED STATES; DEPARTMENT OF EVOLUTIONARY BIOLOGY, BIELEFELD UNIVERSITY, BIELEFELD, GERMANY; DEPARTMENT DE BIOLOGIA EVOLUTIVA, ECOLOGIA I CIÈNCIES AMBIENTALS, UNIVERSITY OF BARCELONA, BARCELONA, SPAIN; UNIVERSITY OF GOETTINGEN, GOETTINGEN, GERMANY"
MCLEAN MJ;BISHOP PJ;NAKAGAWA S,2012,"MALE QUALITY, SIGNAL RELIABILITY AND FEMALE CHOICE: ASSESSING THE EXPECTATIONS OF INTER-SEXUAL SELECTION",JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/J.1420-9101.2012.02533.X,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OTAGO, DUNEDIN, NEW ZEALAND"
GARCÍA-ROA R;GARCIA-GONZALEZ F;NOBLE DWA;CARAZO P,2020,TEMPERATURE AS A MODULATOR OF SEXUAL SELECTION,BIOLOGICAL REVIEWS,10.1111/BRV.12632,"BEHAVIOUR AND EVOLUTION, ETHOLOGY LAB, CAVANILLES INSTITUTE OF BIODIVERSITY AND EVOLUTIONARY BIOLOGY, UNIVERSITY OF VALENCIA, C/CATEDRÁTICO JOSÉ BELTRÁN 2, PATERNA, 46980, VALENCIA, SPAIN; DOÑANA BIOLOGICAL STATION, SPANISH RESEARCH COUNCIL CSIC, C/AMERICO VESPUCIO, 26, ISLA DE LA CARTUJA, SEVILLA, 41092, SPAIN; CENTRE FOR EVOLUTIONARY BIOLOGY, SCHOOL OF BIOLOGICAL SCIENCES, THE UNIVERSITY OF WESTERN AUSTRALIA, 35 STIRLING HIGHWAY, CRAWLEY, 6009, WA, AUSTRALIA; ECOLOGY AND EVOLUTION RESEARCH CENTRE, SCHOOL OF BIOLOGICAL, EARTH AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF NEW SOUTH WALES, SYDNEY, 2052, NSW, AUSTRALIA; DIVISION OF ECOLOGY AND EVOLUTION, RESEARCH SCHOOL OF BIOLOGY, THE AUSTRALIAN NATIONAL UNIVERSITY, CANBERRA, 2061, ACT, AUSTRALIA"
DHARMARATHNE WDSC;HERBERSTEIN ME,2022,LIMITATIONS OF SPERM TRANSFER IN THE COMPLEX REPRODUCTIVE SYSTEM OF SPIDERS,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/BIOLINNEAN/BLAB158,"DEPARTMENT OF BIOLOGICAL SCIENCES, MACQUARIE UNIVERSITY, NORTH RYDE, NSW, AUSTRALIA"
MOORE FR;SHUKER DM;DOUGHERTY L,2016,STRESS AND SEXUAL SIGNALING: A SYSTEMATIC REVIEW AND META-ANALYSIS,BEHAVIORAL ECOLOGY,10.1093/BEHECO/ARV195,"SCHOOL OF PSYCHOLOGY, UNIVERSITY OF DUNDEE, NETHERGATE, DUNDEE, DD1 4HN, UNITED KINGDOM; SCHOOL OF BIOLOGY, BIOMEDICAL SCIENCES RESEARCH COMPLEX, UNIVERSITY OF ST.ANDREWS, ST.ANDREWS, FIFE, KY16 9TH, UNITED KINGDOM; SCHOOL OF ANIMAL BIOLOGY, UNIVERSITY OF WESTERN AUSTRALIA, 35 STIRLING HIGHWAY, CRAWLEY, PERTH, WESTERN, 6009, AUSTRALIA"
MEUNIER J;PINTO SF;BURRI R;ROULIN A,2011,EUMELANIN-BASED COLORATION AND FITNESS PARAMETERS IN BIRDS: A META-ANALYSIS,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/S00265-010-1092-Z,"DEPARTMENT OF ECOLOGY AND EVOLUTION, UNIVERSITY OF LAUSANNE, 1015 LAUSANNE, SWITZERLAND; ZOOLOGICAL INSTITUTE, EVOLUTIONARY BIOLOGY, UNIVERSITY OF BASEL, 4056 BASEL, SWITZERLAND"
MACIEL D;OLIVEIRA R;PEIXOTO PEC,2023,DO REPRODUCTIVE CHARACTERISTICS OF THE SPECIES EXPLAIN DIFFERENCES IN THE INVESTMENT IN WEAPON SIZE PRESENT IN MALES?,ETHOLOGY,10.1111/ETH.13348,"LABORATORY OF SELEÇÃO SEXUAL E INTERAÇÕES AGONÍSTICAS (LASEXIA), DEPARTMENT OF GENÉTICA, ECOLOGIA E EVOLUÇÃO, UNIVERSIDADE FEDERAL DE MINAS GERAIS, BELO HORIZONTE, BRAZIL; PROGRAMA DE PÓS-GRADUAÇÃO EM ECOLOGIA, CONSERVAÇÃO E MANEJO DA VIDA SILVESTRE, UNIVERSIDADE FEDERAL DE MINAS GERAIS, BELO HORIZONTE, BRAZIL"
GOLDBERG RL;DOWNING PA;GRIFFIN AS;GREEN JP,2020,THE COSTS AND BENEFITS OF PATERNAL CARE IN FISH: A META-ANALYSIS: FEMALE CHOICE FOR MALE CARE IN FISH,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.2020.1759,"DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OXFORD, OXFORD, OX1 3SZ, UNITED KINGDOM; DEPARTMENT OF BIOLOGY, LUND UNIVERSITY, LUND, SWEDEN"
ROBINSON CM;CREANZA N,2019,SPECIES-LEVEL REPERTOIRE SIZE PREDICTS A CORRELATION BETWEEN INDIVIDUAL SONG ELABORATION AND REPRODUCTIVE SUCCESS,ECOLOGY AND EVOLUTION,10.1002/ECE3.5418,"DEPARTMENT OF BIOLOGICAL SCIENCES, VANDERBILT UNIVERSITY, NASHVILLE, TN, UNITED STATES"
LÜPOLD S;FITZPATRICK JL,2015,SPERM NUMBER TRUMPS SPERM SIZE IN MAMMALIAN EJACULATE EVOLUTION,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.2015.2122,"COMPUTATIONAL AND EVOLUTIONARY BIOLOGY, UNIVERSITY OF MANCHESTER, MANCHESTER, M13 9PT, UNITED KINGDOM; DEPARTMENT OF EVOLUTIONARY BIOLOGY AND ENVIRONMENTAL SCIENCES, UNIVERSITY OF ZURICH-IRCHEL, WINTERTHURERSTRASSE 190, ZURICH, 8057, SWITZERLAND; DEPARTMENT OF ZOOLOGY/ETHOLOGY, STOCKHOLM UNIVERSITY, SVANTE ARRHENIUS VÄG 18B, STOCKHOLM, 10691, SWEDEN"
KOCH RE;WILSON AE;HILL GE,2016,THE IMPORTANCE OF CAROTENOID DOSE IN SUPPLEMENTATION STUDIES WITH SONGBIRDS,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,10.1086/684485,"DEPARTMENT OF BIOLOGICAL SCIENCES, AUBURN UNIVERSITY, 331 FUNCHESS HALL, AUBURN, 36849, AL, UNITED STATES; SCHOOL OF FISHERIES, AQUACULTURE, AND AQUATIC SCIENCES, AUBURN UNIVERSITY, AUBURN, 36849, AL, UNITED STATES"
ROMANO A;SAINO N;MØLLER AP,2017,VIABILITY AND EXPRESSION OF SEXUAL ORNAMENTS IN THE BARN SWALLOW HIRUNDO RUSTICA: A META-ANALYSIS,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/JEB.13151,"DEPARTMENT OF ENVIRONMENTAL SCIENCE AND POLICY, UNIVERSITÀ DEGLI STUDI DI MILANO, MILANO, ITALY; ECOLOGIE SYSTÉMATIQUE EVOLUTION, CNRS, UNIVERSITÉ PARIS-SUD, AGROPARISTECH, UNIVERSITÉ PARIS-SACLAY, ORSAY, FRANCE"
SOPER DM;EKROTH AKE;MARTINS MJF,2021,DIRECT EVIDENCE FOR INCREASED DISEASE RESISTANCE IN POLYANDROUS BROODS EXISTS ONLY IN EUSOCIAL HYMENOPTERA,BMC ECOLOGY AND EVOLUTION,10.1186/S12862-021-01925-3,"DEPARTMENT OF BIOLOGY, UNIVERSITY OF DALLAS, 1845 E. NORTHGATE DR., IRVING, 75062, TX, UNITED STATES; DEPARTMENT OF ZOOLOGY, UNIVERSITY OF OXFORD, 11A MANSFIELD ROAD, OXFORD, OX1 3SZ, UNITED KINGDOM; INTERDISCIPLINARY CENTER FOR ARCHAEOLOGY AND EVOLUTION OF HUMAN BEHAVIOUR (ICAREHB), FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS, UNIVERSIDADE DO ALGARVE, CAMPUS DE GAMBELAS, FARO, 8005-139, PORTUGAL; DEPARTMENT OF PALEOBIOLOGY, NATIONAL MUSEUM OF NATURAL HISTORY, SMITHSONIAN INSTITUTION, WASHINGTON, 20013-7012, DC, UNITED STATES"
JANICKE T;FROMONTEIL S,2021,SEXUAL SELECTION AND SEXUAL SIZE DIMORPHISM IN ANIMALS,BIOLOGY LETTERS,10.1098/RSBL.2021.0251,"CENTRE D'ÉCOLOGIE FONCTIONNELLE ET ÉVOLUTIVE, UMR 5175 CNRS, UNIVERSITÉ DE MONTPELLIER, ÉCOLE PRATIQUE DES HAUTES ÉTUDES, MONTPELLIER, FRANCE; APPLIED ZOOLOGY, TECHNICAL UNIVERSITY DRESDEN, ZELLESCHER WEG 20B, DRESDEN, 01062, GERMANY"
JANICKE T;RITCHIE MG;MORROW EH;MARIE-ORLEACH L,2018,SEXUAL SELECTION PREDICTS SPECIES RICHNESS ACROSS THE ANIMAL KINGDOM,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/RSPB.2018.0173,"EVOLUTION, BEHAVIOUR AND ENVIRONMENT GROUP, SCHOOL OF LIFE SCIENCES, UNIVERSITY OF SUSSEX, BRIGHTON, UNITED KINGDOM; CENTRE D’ÉCOLOGIE FONCTIONNELLE ET ÉVOLUTIVE, UMR 5175, CNRS, UNIVERSITÉ DE MONTPELLIER, UNIVERSITE´ PAUL-VALÉRY MONTPELLIER, ÉCOLE PRATIQUE DES HAUTES ÉTUDES, MONTPELLIER, 34090, FRANCE; CENTRE FOR BIOLOGICAL DIVERSITY, SCHOOL OF BIOLOGY, UNIVERSITY OF ST ANDREWS, ST ANDREWS, UNITED KINGDOM"
YUKILEVICH R,2012,ASYMMETRICAL PATTERNS OF SPECIATION UNIQUELY SUPPORT REINFORCEMENT IN DROSOPHILA,EVOLUTION,10.1111/J.1558-5646.2011.01534.X,"DEPARTMENT OF ECOLOGY AND EVOLUTION, UNIVERSITY OF CHICAGO, CHICAGO, IL 60637, UNITED STATES; UNION COLLEGE, SCHENECTADY, NY 12308, UNITED STATES"
GREENFIELD MD;ALEM S;LIMOUSIN D;BAILEY NW,2014,THE DILEMMA OF FISHERIAN SEXUAL SELECTION: MATE CHOICE FOR INDIRECT BENEFITS DESPITE RARITY AND OVERALL WEAKNESS OF TRAIT-PREFERENCE GENETIC CORRELATION,EVOLUTION,10.1111/EVO.12542,"INSTITUT DE RECHERCHE SUR LA BIOLOGIE DE L'INSECTE (IRBI), CNRS UMR 7261, UNIVERSITÉ FRANÇOIS, RABELAIS DE TOURS, PARC DE GRANDMONT, TOURS, 37200, FRANCE; RESEARCH CENTRE FOR PSYCHOLOGY, SCHOOL OF BIOLOGICAL AND CHEMICAL SCIENCES, QUEEN MARY UNIVERSITY OF LONDON, MILE END ROAD, LONDON, E1 4NS, UNITED KINGDOM; UPMC UNIV PARIS 06, UMR 1272, PHYSIOLOGIE DE L'INSECTE SIGNALISATION ET COMMUNICATION, VERSAILLES, F-78026, FRANCE; INRA, UMR 1272, PHYSIOLOGIE DE L'INSECTE SIGNALISATION ET COMMUNICATION, VERSAILLES, F-78026, FRANCE; CENTRE FOR BIOLOGICAL DIVERSITY, SCHOOL OF BIOLOGY, UNIVERSITY OF ST. ANDREWS, FIFE, KY16 9TH, UNITED KINGDOM"
DOUGHERTY LR;SKIRROW MJA;JENNIONS MD;SIMMONS LW,2022,MALE ALTERNATIVE REPRODUCTIVE TACTICS AND SPERM COMPETITION: A META-ANALYSIS,BIOLOGICAL REVIEWS,10.1111/BRV.12846,"DEPARTMENT OF EVOLUTION, ECOLOGY AND BEHAVIOUR, UNIVERSITY OF LIVERPOOL, CROWN STREET, LIVERPOOL, L69 7RB, UNITED KINGDOM; DIVISION OF ECOLOGY & EVOLUTION, RESEARCH SCHOOL OF BIOLOGY, THE AUSTRALIAN NATIONAL UNIVERSITY, 46 SULLIVANS CREEK ROAD, CANBERRA, 2600, ACT, AUSTRALIA; CENTRE FOR EVOLUTIONARY BIOLOGY, SCHOOL OF BIOLOGICAL SCIENCES, THE UNIVERSITY OF WESTERN AUSTRALIA, CRAWLEY, 6009, WA, AUSTRALIA"
CREAN AJ;SENIOR AM,2019,HIGH-FAT DIETS REDUCE MALE REPRODUCTIVE SUCCESS IN ANIMAL MODELS: A SYSTEMATIC REVIEW AND META-ANALYSIS,OBESITY REVIEWS,10.1111/OBR.12827,"SYDNEY SCHOOL OF VETERINARY SCIENCE, THE UNIVERSITY OF SYDNEY, SYDNEY, AUSTRALIA; CHARLES PERKINS CENTRE, THE UNIVERSITY OF SYDNEY, SYDNEY, AUSTRALIA; SCHOOL OF MATHEMATICS AND STATISTICS, THE UNIVERSITY OF SYDNEY, SYDNEY, AUSTRALIA; SCHOOL OF LIFE AND ENVIRONMENTAL SCIENCES, THE UNIVERSITY OF SYDNEY, SYDNEY, AUSTRALIA"
JANICKE T;MARIE-ORLEACH L;AUBIER TG;PERRIER C;MORROW EH,2019,ASSORTATIVE MATING IN ANIMALS AND ITS ROLE FOR SPECIATION,AMERICAN NATURALIST,10.1086/705825,"CENTRE D’ECOLOGIE FONCTIONNELLE ET EVOLUTIVE, CNRS, UNIVERSITÉ DE MONTPELLIER, UNIVERSITÉ PAUL VALÉRY MONTPELLIER 3, ÉCOLE PRATIQUE DES HAUTES ÉTUDES, INSTITUT DE RECHERCHE POUR LE DÉVELOPPEMENT, MONTPELLIER, 34293, FRANCE; EVOLUTION, BEHAVIOUR, AND ENVIRONMENT GROUP, SCHOOL OF LIFE SCIENCES, JOHN MAYNARD SMITH BUILDING, UNIVERSITY OF SUSSEX, BRIGHTON, BN1 9QG, UNITED KINGDOM; APPLIED ZOOLOGY, FACULTY OF BIOLOGY, TECHNISCHE UNIVERSITÄT DRESDEN, ZELLESCHER WEG 20B, DRESDEN, D-01217, GERMANY; CENTRE FOR BIOLOGICAL DIVERSITY, SCHOOL OF BIOLOGY, UNIVERSITY OF SAINT ANDREWS, FIFE, SAINT ANDREWS, KY16 9TH, UNITED KINGDOM; NATURAL HISTORY MUSEUM, UNIVERSITY OF OSLO, OSLO, NO-0318, NORWAY; CNRS, UNIVERSITÉ DE RENNES 1, ECOBIO (ECOSYSTÈMES, BIODIVERSITÉ, EVOLUTION), UNITÉ MIXTE DE RECHERCHE 6553, RENNES, F-35000, FRANCE; DEPARTMENT OF EVOLUTIONARY BIOLOGY AND ENVIRONMENTAL STUDIES, UNIVERSITY OF ZURICH, WINTERTHURERSTRASSE 190, ZURICH, CH-8057, SWITZERLAND; CENTRE D’ECOLOGIE FONCTIONNELLE ET EVOLUTIVE, CNRS–UNITÉ MIXTE DE RECHERCHE 5175, 1919 ROUTE DE MENDE, MONTPELLIER, CEDEX 05, 34293, FRANCE"
JANICKE T;MORROW EH,2018,OPERATIONAL SEX RATIO PREDICTS THE OPPORTUNITY AND DIRECTION OF SEXUAL SELECTION ACROSS ANIMALS,ECOLOGY LETTERS,10.1111/ELE.12907,"ECOLOGY, BEHAVIOUR AND ENVIRONMENT GROUP, UNIVERSITY OF SUSSEX, BRIGHTON, UNITED KINGDOM; CENTRE D'ÉCOLOGIE FONCTIONNELLE ET ÉVOLUTIVE, UMR 5175, CNRS, UNIVERSITÉ DE MONTPELLIER, ÉCOLE PRATIQUE DES HAUTES ÉTUDES, MONTPELLIER, FRANCE"
PARKER TH,2013,WHAT DO WE REALLY KNOW ABOUT THE SIGNALLING ROLE OF PLUMAGE COLOUR IN BLUE TITS? A CASE STUDY OF IMPEDIMENTS TO PROGRESS IN EVOLUTIONARY BIOLOGY,BIOLOGICAL REVIEWS,10.1111/BRV.12013,"DEPARTMENT OF BIOLOGY, WHITMAN COLLEGE, WALLA WALLA, WA, 99362, UNITED STATES"
ANTHES N;HÄDERER IK;MICHIELS NK;JANICKE T,2017,MEASURING AND INTERPRETING SEXUAL SELECTION METRICS: EVALUATION AND GUIDELINES,METHODS IN ECOLOGY AND EVOLUTION,10.1111/2041-210X.12707,"ANIMAL EVOLUTIONARY ECOLOGY GROUP, INSTITUTE FOR EVOLUTION AND ECOLOGY, UNIVERSITY OF TÜBINGEN, AUF DER MORGENSTELLE 28, TÜBINGEN, 72076, GERMANY; CENTRE D'ÉCOLOGIE FONCTIONNELLE ET ÉVOLUTIVE, UMR 5175, CNRS, UNIVERSITY OF MONTPELLIER, 1919 ROUTE DE MENDE, MONTPELLIER CEDEX 05, 34293, FRANCE"
