authors,year,title,journal,doi,language,evaluation
DOUGHERTY LR and SHUKER DM,2016,variation in pre- and post-copulatory sexual selection on male genital size in two species of lygaeid bug,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-016-2082-6,English,Included
DOUGHERTY LR and SKIRROW MJA and JENNIONS MD and SIMMONS LW,2022,male alternative reproductive tactics and sperm competition: a meta-analysis,BIOLOGICAL REVIEWS,10.1111/brv.12846,English,Included
"Dougherty, L.",2023,The effect of individual state on the strength of mate choice in females and males,Behavioral Ecology,10.1093/beheco/arac100,English,Included
DUBOIS F and CEZILLY F,2002,breeding success and mate retention in birds: a meta-analysis,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-002-0521-z,English,Included
EVANS SR and HINKS AE and WILKIN TA and SHELDON BC,2010,"age, sex and beauty: methodological dependence of age- and sex-dichromatism in the great tit parus major",BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1111/j.1095-8312.2010.01548.x,English,Included
FARGEVIEILLE A and GREGOIRE A and CHARMANTIER A and DEL REY GRANADO M and DOUTRELANT C,2017,assortative mating by colored ornaments in blue tits: space and time matter,ECOLOGY AND EVOLUTION,10.1002/ece3.2822,English,Excluded: not meta-analysis
FISKE P and RINTAMAKI PT and KARVONEN E,1998,mating success in lekking males: a meta-analysis,BEHAVIORAL ECOLOGY,10.1093/beheco/9.4.328,English,Included
FITZPATRICK JL and BAER B,2011,polyandry reduces sperm length variation in social insects,EVOLUTION,10.1111/j.1558-5646.2011.01343.x,English,Excluded: not meta-analysis
FLORIN AB and ODEEN A,2002,laboratory environments are not conducive for allopatric speciation,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1046/j.1420-9101.2002.00356.x,English,Included
FRIIS J and DABELSTEEN T and CARDOSO GC,2021,contingency and determinism in the evolution of bird song sound frequency,SCIENTIFIC REPORTS,10.1038/s41598-021-90775-6,English,Excluded: not meta-analysis
FROMONTEIL S and MARIE-ORLEACH L and WINKLER L and JANICKE T,2023,sexual selection in females and the evolution of polyandry,PLOS BIOLOGY,10.1371/journal.pbio.3001916,English,Included
GARAMSZEGI LZ,2005,bird song and parasites,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-005-0041-8,English,Included
GARAMSZEGI LZ and EENS M,2004,brain space for a learned task: strong intraspecific evidence for neural correlates of singing behavior in songbirds,BRAIN RESEARCH REVIEWS,10.1016/j.brainresrev.2003.12.001,English,Included
GARAMSZEGI LZ and MOLLER AP,2004,extrapair paternity and the evolution of bird song,BEHAVIORAL ECOLOGY,10.1093/beheco/arh041,English,Included
GARAMSZEGI LZ and TOROK J and HEGYI G and SZOLLOSI E and ROSIVALL B and EENS M,2007,"age-dependent expression of song in the collared flycatcher, ficedula albicollis",ETHOLOGY,10.1111/j.1439-0310.2007.01337.x,English,Included
GARCIA-ROA R and GARCIA-GONZALEZ F and NOBLE DWA and CARAZO P,2020,temperature as a modulator of sexual selection,BIOLOGICAL REVIEWS,10.1111/brv.12632,English,Included
GOLDBERG RL and DOWNING PA and GRIFFIN AS and GREEN JP,2020,the costs and benefits of paternal care in fish: a meta-analysis: female choice for male care in fish,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.2020.1759,English,Excluded: duplicate
GOLDBERG RL and DOWNING PA and GRIFFIN JP,2020,the costs and benefits of paternal care in fish: a meta-analysis,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2020.1759,English,Included
"Gomez-Llano, M. and Faria, G.S. and Garcia-Roa, R. and Noble, D.W.A. and Carazo, P.",2023,"Male harm suppresses female fitness, affecting the dynamics of adaptation and evolutionary rescue",Evolution Letters,10.1093/evlett/qrac002,English,Included
GONTARD-DANEK MC and MOLLER AP,1999,the strength of sexual selection: a meta-analysis of bird studies,BEHAVIORAL ECOLOGY,10.1093/beheco/10.5.476,English,Included
GRAHAM S and CHAPUIS E and MECONCELLI S and BONEL N and SARTORI K and CHRISTOPHE A and ALDA P and DAVID P and JANICKE T,2015,size-assortative mating in simultaneous hermaphrodites: an experimental test and a meta-analysis,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-015-1999-5,English,Included
GREEN DM,2019,rarity of size-assortative mating in animals: assessing the evidence with anuran amphibians,AMERICAN NATURALIST,10.1086/701124,English,Included
GREENFIELD MD and ALEM S and LIMOUSIN D and BAILEY NW,2014,the dilemma of fisherian sexual selection: mate choice for indirect benefits despite rarity and overall weakness of trait-preference genetic correlation,EVOLUTION,10.1111/evo.12542,English,Included
GRIFFITH SC and PARKER TH and OLSON VA,2006,melanin- versus carotenoid-based sexual signals: is the difference really so black and red?,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2005.07.016,English,Included
GUINDRE-PARKER S and LOVE OP,2014,revisiting the condition-dependence of melanin-based plumage,JOURNAL OF AVIAN BIOLOGY,10.1111/j.1600-048X.2013.00190.x,English,Included
HAMILTON WJ and POULIN R,1997,the hamilton and zuk hypothesis revisited: a meta-analytical approach,BEHAVIOUR,10.1163/156853997x00485,English,Included
HARPER DGC,1999,"feather mites, pectoral muscle condition, wing length and plumage coloration of passerines",ANIMAL BEHAVIOUR,10.1006/anbe.1999.1154,English,Excluded: not meta-analysis
HARTS AMF and BOOKSMYTHE I and JENNIONS MD,2016,mate guarding and frequent copulation in birds: a meta-analysis of their relationship to paternity and male phenotype,EVOLUTION,10.1111/evo.13081,English,Included
HASIK AZZ and SIEPIELSKI AMM,2022,parasitism shapes selection by drastically reducing host fitness and increasing host fitness variation,BIOLOGY LETTERS,10.1098/rsbl.2022.0323,English,Included
HAYWARD A and GILLOOLY JF,2011,the cost of sex: quantifying energetic investment in gamete production by males and females,PLOS ONE,10.1371/journal.pone.0016557,English,Included
HEGYI G and KOETEL D and LACZI M,2015,direct benefits of mate choice: a meta-analysis of plumage colour and offspring feeding rates in birds,SCIENCE OF NATURE,10.1007/s00114-015-1311-6,English,Included
HERNANDEZ A and MARTINEZ-GOMEZ M and BEAMONTE-BARRIENTOS R and MONTOYA B,2021,"colourful traits in female birds relate to individual condition, reproductive performance and male-mate preferences: a meta-analytic approach",BIOLOGY LETTERS,10.1098/rsbl.2021.0283,English,Included
HOEKSTRA HE and HOEKSTRA JM and BERRIGAN D and VIGNIERI A and HILL CE and BEERLI P and KINGSOLVER JG,2001,strength and tempo of directional selection in the wild,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,10.1073/pnas.161281098,English,Included
HOLMAN L,2016,bet hedging via multiple mating: a meta-analysis,EVOLUTION,10.1111/evo.12822,English,Excluded: not meta-analysis
Hsu and Yu-Hsun,2014,the causes and consequences of extra-pair mating in house sparrows (passer domesticus),NA,NA,English,Excluded: duplicate
HSU YH and SCHROEDER J and WINNEY I and BURKE T and NAKAGAWA S,2015,are extra-pair males different from cuckolded males? a case study and a meta-analytic examination,MOLECULAR ECOLOGY,10.1111/mec.13124,English,Included
IHLE M and FORSTMEIER W,2013,revisiting the evidence for inbreeding avoidance in zebra finches,BEHAVIORAL ECOLOGY,10.1093/beheco/art074,English,Included
ISVARAN K and PONKSHE A,2013,how general is a female mating preference for clustered males in lekking species? a meta-analysis,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2013.05.036,English,Included
JANICKE T and FROMONTEIL S,2021,sexual selection and sexual size dimorphism in animals,BIOLOGY LETTERS,10.1098/rsbl.2021.0251,English,Included
JANICKE T and HAEDERER IK and LAJEUNESSE MJ and ANTHES N,2016,darwinian sex roles confirmed across the animal kingdom,SCIENCE ADVANCES,10.1126/sciadv.1500983,English,Included
JANICKE T and MARIE-ORLEACH L and AUBIER TG and PERRIER C and MORROW EH,2019,assortative mating in animals and its role for speciation,AMERICAN NATURALIST,10.1086/705825,English,Included
JANICKE T and MORROW EH,2018,operational sex ratio predicts the opportunity and direction of sexual selection across animals,ECOLOGY LETTERS,10.1111/ele.12907,English,Included
"Janicke, T and Ritchie, M.G. and Morrow, E.H. and Marie-Orleach, L.",2018,Sexual selection predicts species richness across the animal kingdom,Proceedings of the Royal Society B: Biological Sciences,10.1098/rspb.2018.0173,English,Included
JENNIONS MD and MOLLER AP and PETRIE M,2001,sexually selected traits and adult survival: a meta-analysis,QUARTERLY REVIEW OF BIOLOGY,10.1086/393743,English,Included
Jiang and Yuexin and Ph. D.,2014,deviation from panmixia via assortative mating and divergent habitat preferences,NA,NA,English,Excluded: duplicate
JIANG Y and BOLNICK DI and KIRKPATRICK M,2013,assortative mating in animals,AMERICAN NATURALIST,10.1086/670160,English,Included
JOLY D and SCHIFFER M,2010,coevolution of male and female reproductive structures in drosophila,GENETICA,10.1007/s10709-009-9392-9,English,Included
JONES BC and DUVAL EH,2019,mechanisms of social influence: a meta-analysis of the effects of social information on female mate choice decisions,FRONTIERS IN ECOLOGY AND EVOLUTION,10.3389/fevo.2019.00390,English,Included
KAMIYA T and ODWYER K and WESTERDAHL H and SENIOR A and NAKAGAWA S,2014,a quantitative review of mhc-based mating preference: the role of diversity and dissimilarity,MOLECULAR ECOLOGY,10.1111/mec.12934,English,Included
KELLY CD,2008,"the interrelationships between resource-holding potential, resource-value and reproductive success in territorial males: how much variation can we explain?",BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-007-0518-8,English,Included
KELLY CD and JENNIONS MD,2011,sexual selection and sperm quantity: meta-analyses of strategic ejaculation,BIOLOGICAL REVIEWS,10.1111/j.1469-185X.2011.00175.x,English,Included
KIM B and MORAN NP and REINHOLD K and SANCHEZ-TOJAR A,2021,male size and reproductive performance in three species of livebearing fishes (gambusia spp.): a systematic review and meta-analysis,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.13554,English,Included
KOCH RE and WILSON AE and HILL GE,2016,the importance of carotenoid dose in supplementation studies with songbirds,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,10.1086/684485,English,Included
Koffler and Sheina,2017,"assessing stingless bee reproductive biology, quantitative genetics, and the consequences of long-term management to support breeding initiatives ; avalia{\c c}{\~a}o da biologia reprodutiva, gen{\'e}tica quantitativa e consequ{\^e}ncias do manejo a longo prazo em abelhas sem ferr{\~a}o para subsidiar programas de melhoramento gen{\'e}tico","Biblioteca Digital de Teses e Disserta{\c c}{\~o}es da USP, Universidade de S{\~a}o Paulo, Instituto de Bioci{\^e}ncias",NA,English,Excluded: not relevant
KRAAIJEVELD K and KRAAIJEVELD-SMIT FJL and MAAN ME,2011,sexual selection and speciation: the comparative evidence revisited,BIOLOGICAL REVIEWS,10.1111/j.1469-185X.2010.00150.x,English,Included
LEE PLM and SHERMAN CDH and ROLLINS LA and WAPSTRA E and PHILLIPS KP,2022,do female amphibians and reptiles have greater reproductive output if they have more mates?,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-022-03194-6,English,Included
LEUNG B and FORBES MR,1996,fluctuating asymmetry in relation to stress and fitness: effects of trait type as revealed by meta-analysis,ECOSCIENCE,10.1080/11956860.1996.11682357,English,Included
LIU YX and DAVY CM and SHI HT and MURPHY RW,2013,sex in the half-shell: a review of the functions and evolution of courtship behavior in freshwater turtles,CHELONIAN CONSERVATION AND BIOLOGY,10.2744/CCB-1037.1,English,Excluded: not meta-analysis
LOSDAT S and CHANG SM and REID JM,2014,inbreeding depression in male gametic performance,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12403,English,Included
LUEPOLD S and FITZPATRICK JL,2015,sperm number trumps sperm size in mammalian ejaculate evolution,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.2015.2122,English,Included
LUEPOLD S and SIMMONS LW and TOMKINS JL and FITZPATRICK JL,2015,no evidence for a trade-off between sperm length and male premating weaponry,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12742,English,Included
LUPOLD S and DE BOER RA and EVANS JL and FITZPATRICK JL,2020,how sperm competition shapes the evolution of testes and sperm: a meta-analysis,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rstb.2020.0064,English,Included
MACARTNEY EL and CREAN AJ and NAKAGAWA S and BONDURIANSKY R,2019,effects of nutrient limitation on sperm and seminal fluid: a systematic review and meta-analysis,BIOLOGICAL REVIEWS,10.1111/brv.12524,English,Included
MACIEL D and OLIVEIRA R and PEIXOTO PEC,2023,do reproductive characteristics of the species explain differences in the investment in weapon size present in males?,ETHOLOGY,10.1111/eth.13348,English,Included
MAJOLO B and LEHMANN J and DE BORTOLI VIZIOLI A and SCHINO G,2012,fitness-related benefits of dominance in primates,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,10.1002/ajpa.22031,English,Included
MAUTZ BS and MOLLER AP and JENNIONS MD,2013,do male secondary sexual characters signal ejaculate quality? a meta-analysis,BIOLOGICAL REVIEWS,10.1111/brv.12022,English,Included
MCLEAN MJ and BISHOP PJ and NAKAGAWA S,2012,"male quality, signal reliability and female choice: assessing the expectations of inter-sexual selection",JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/j.1420-9101.2012.02533.x,English,Included
"McLean, Morgan",2012,"testing the predictions of inter-sexual selection theory, using anurans as a model taxon.",NA,NA,English,Excluded: duplicate
MENEZES JCT and PALAORO AV,2022,flight hampers the evolution of weapons in birds,ECOLOGY LETTERS,10.1111/ele.13964,English,Included
MEUNIER J and PINTO SF and BURRI R and ROULIN A,2011,eumelanin-based coloration and fitness parameters in birds: a meta-analysis,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-010-1092-z,English,Included
MOATT JP and NAKAGAWA S and LAGISZ M and WALLING CA,2016,the effect of dietary restriction on reproduction: a meta-analytic perspective,BMC EVOLUTIONARY BIOLOGY,10.1186/s12862-016-0768-z,English,Excluded: not relevant
MOLLER AP and ALATALO RV,1999,good-genes effects in sexual selection,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.1999.0607,English,Included
MOLLER AP and CHRISTE P and LUX E,1999,"parasitism, host immune function, and sexual selection",QUARTERLY REVIEW OF BIOLOGY,10.1086/392949,English,Included
MOLLER AP and JENNIONS MD,2001,how important are direct fitness benefits of sexual selection?,NATURWISSENSCHAFTEN,10.1007/s001140100255,English,Included
MOLLER AP and NINNI P,1998,sperm competition and sexual selection: a meta-analysis of paternity studies of birds,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s002650050501,English,Included
MOLLER AP and THORNHILL R,1998,bilateral symmetry and sexual selection: a meta-analysis,AMERICAN NATURALIST,10.1086/286110,English,Included
MOLLER AP and THORNHILL R and GANGESTAD SW,2005,direct and indirect tests for publication bias: asymmetry and sexual selection,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2004.11.017,English,Excluded: not relevant
MOORE FR and SHUKER DM and DOUGHERTY L,2016,stress and sexual signaling: a systematic review and meta-analysis,BEHAVIORAL ECOLOGY,10.1093/beheco/arv195,English,Included
MORI BA and EVENDEN ML,2013,when mating disruption does not disrupt mating: fitness consequences of delayed mating in moths,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,10.1111/j.1570-7458.2012.01309.x,English,Included
MOURA RR and CARDOSO PEIXOTO PE,2013,the effect of operational sex ratio on the opportunity for sexual selection: a meta-analysis,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2013.07.002,English,Included
MYERS JN and SENIOR A and ZADMAJID V and SORENSEN SR and BUTTS IAE,2020,associations between ovarian fluid and sperm swimming trajectories in marine and freshwater teleosts: a meta-analysis,REVIEWS IN FISHERIES SCIENCE AND AQUACULTURE,10.1080/23308249.2020.1739623,English,Included
NAKAGAWA S and OCKENDON N and GILLESPIE DOS and HATCHWELL BJ and BURKE T,2007,assessing the function of house sparrows' bib size using a flexible meta-analysis method,BEHAVIORAL ECOLOGY,10.1093/beheco/arm050,English,Included
NIEBERDING CM and HOLVECK MJ,2017,laboratory social environment biases mating outcome: a first quantitative synthesis in a butterfly,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,10.1007/s00265-017-2346-9,English,Included
"Nilsson, Tina",2004,polyandry and the evolution of reproductive divergence in insects,"Umea universitet, Ekologi och geovetenskap",NA,English,Excluded: duplicate
NOLAZCO S and DELHEY K and NAKAGAWA S and PETERS A,2022,ornaments are equally informative in male and female birds,NATURE COMMUNICATIONS,10.1038/s41467-022-33548-7,English,Included
NOWICKI S and SEARCY WA,2014,the evolution of vocal learning,CURRENT OPINION IN NEUROBIOLOGY,10.1016/j.conb.2014.06.007,English,Excluded: not meta-analysis
ORD TJ,2021,"costs of territoriality: a review of hypotheses, meta-analysis, and field study",OECOLOGIA,10.1007/s00442-021-05068-6,English,Included
ORD TJ and KING L and YOUNG AR,2011,contrasting theory with the empirical data of species recognition,EVOLUTION,10.1111/j.1558-5646.2011.01319.x,English,Included
ORD TJ and STAMPS JA,2009,species identity cues in animal communication,AMERICAN NATURALIST,10.1086/605372,English,Included
PALAORO A and CARDOSO PEIXOTO PE,2022,"the hidden links between animal weapons, fighting style, and their effect on contest success: a meta-analysis",BIOLOGICAL REVIEWS,10.1111/brv.12877,English,Included
PALMER AR,2000,"quasireplication and the contract of error: lessons from sex ratios, heritabilities and fluctuating asymmetry",ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,10.1146/annurev.ecolsys.31.1.441,English,Excluded: not meta-analysis
PALMER AR,1999,detecting publication bias in meta-analyses: a case study of fluctuating asymmetry and sexual selection,AMERICAN NATURALIST,10.1086/303223,English,Excluded: not relevant
PARKER TH,2013,what do we really know about the signalling role of plumage colour in blue tits? a case study of impediments to progress in evolutionary biology,BIOLOGICAL REVIEWS,10.1111/brv.12013,English,Included
PARKER TH and BARR IR and GRIFFITH SC,2006,the blue tit's song is an inconsistent signal of male condition,BEHAVIORAL ECOLOGY,10.1093/beheco/arl041,English,Included
PARKER TH and GREIG E and NAKAGAWA S and PARRA M and DALISIO AC,2018,subspecies status and methods explain strength of response to local versus foreign song by oscine birds in meta-analysis,ANIMAL BEHAVIOUR,10.1016/j.anbehav.2018.05.023,English,Included
PARKER TH and LIGON JD,2003,female mating preferences in red junglefowl: a meta-analysis,ETHOLOGY ECOLOGY AND EVOLUTION,10.1080/08927014.2003.9522691,English,Included
PARRIS KM and MCCARTHY MA,2013,predicting the effect of urban noise on the active space of avian vocal signals,AMERICAN NATURALIST,10.1086/671906,English,Included
PATTEN MA,2010,evolution and historical biogeography of a song sparrow ring in western north america,"EVOLUTIONARY BIOLOGY - CONCEPTS, MOLECULAR AND MORPHOLOGICAL EVOLUTION",10.1007/978-3-642-12340-5\_20,English,Excluded: not meta-analysis
PEIXOTO PEC and MEDINA AM and MENDOZA-CUENCA L,2014,do territorial butterflies show a macroecological fighting pattern in response to environmental stability?,BEHAVIOURAL PROCESSES,10.1016/j.beproc.2014.07.001,English,Included
PIKE VL and CORNWALLIS CK and GRIFFIN AS,2021,why don't all animals avoid inbreeding?,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.2021.1045,English,Included
PILAKOUTA N and BAILLET A,2022,effects of temperature on mating behaviour and mating success: a meta-analysis,JOURNAL OF ANIMAL ECOLOGY,10.1111/1365-2656.13761,English,Included
POLLO P and NAKAGAWA S and KASUMOVIC MM,2022,"the better, the choosier: a meta-analysis on interindividual variation of male mate choice",ECOLOGY LETTERS,10.1111/ele.13981,English,Included
POMIANKOWSKI A and MOLLER AP,1995,a resolution of the lek paradox,PROCEEDINGS OF THE ROYAL SOCIETY B: BIOLOGICAL SCIENCES,10.1098/rspb.1995.0054,English,Included
POWERS MJ and WILSON AE and HEINE KB and HILL GE,2020,the relative importance of various mating criteria in copepods,JOURNAL OF PLANKTON RESEARCH,10.1093/plankt/fbz075,English,Included
PRASETYA AM and PETERS A and DELHEY K,2020,carotenoid-based plumage colour saturation increases with temperature in australian passerines,JOURNAL OF BIOGEOGRAPHY,10.1111/jbi.13968,English,Excluded: not meta-analysis
PROKOP ZM and MICHALCZYK L and DROBNIAK SM and HERDEGEN M and RADWAN J,2012,meta-analysis suggests choosy females get sexy sons more than ``good genes'',EVOLUTION,10.1111/j.1558-5646.2012.01654.x,English,Included
PROKUDA AY and ROFF DA,2014,"the quantitative genetics of sexually selected traits, preferred traits and preference: a review and analysis of the data",JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.12483,English,Included
RANDLER C,2008,mating patterns in avian hybrid zones - a meta-analysis and review,ARDEA,10.5253/078.096.0108,English,Included
RICHARDSON J and ZUK M,2023,unlike a virgin: a meta-analytical review of female mating status in studies of female mate choice,BEHAVIORAL ECOLOGY,10.1093/beheco/arac091,English,Included
RIOS MOURA R and OLIVEIRA GONZAGA M and SILVA PINTO N and VASCONCELLOS-NETO J and REQUENA GS,2021,assortative mating in space and time: patterns and biases,ECOLOGY LETTERS,10.1111/ele.13690,English,Included
Robinson CM,2019,"evolutionary interactions between sexual selection, song elaboration, and song learning: a combined empirical and theoretical approach",NA,NA,English,Excluded: duplicate
ROBINSON CM and CREANZA N,2019,species-level repertoire size predicts a correlation between individual song elaboration and reproductive success,ECOLOGY AND EVOLUTION,10.1002/ece3.5418,English,Included
RODRIGUEZ RL and EBERHARD WG,2019,why the static allometry of sexually-selected traits is so variable: the importance of function,INTEGRATIVE AND COMPARATIVE BIOLOGY,10.1093/icb/icz039,English,Included
ROMANO A and COSTANZO A and RUBOLINI D and SAINO N and MOLLER AP,2017,geographical and seasonal variation in the intensity of sexual selection in the barn swallow hirundo rustica: a meta-analysis,BIOLOGICAL REVIEWS,10.1111/brv.12297,English,Included
ROMANO A and SAINO N and MOLLER AP,2017,viability and expression of sexual ornaments in the barn swallow hirundo rustica: a meta-analysis,JOURNAL OF EVOLUTIONARY BIOLOGY,10.1111/jeb.13151,English,Included
ROMETSCH SJ and TORRES-DOWDALL J and MEYER A,2020,evolutionary dynamics of pre- and postzygotic reproductive isolation in cichlid fishes,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rstb.2019.0535,English,Included
SANCHEZ-TOJAR A and NAKAGAWA S and SANCHEZ-FORTUN M and MARTIN DA and RAMANI S and GIRNDT A and BOKONY V and KEMPENAERS B and LIKER A and WESTNEAT DF and BURKE T and SCHROEDER J,2018,meta-analysis challenges a textbook example of status signalling and demonstrates publication bias,ELIFE,10.7554/eLife.37385,English,Included
